term,estimate,std_error,t_value,p_value,percent_effect,dollar_effect
maori_exp_visit_a_maori_family_in_their_home,0.029398261337515053,0.028438407563710574,1.0337520225650512,0.3012635320526653,2.9834656141431104,102.08074534472145
decision_something_else,-0.020346922479432032,0.019931585526518813,-1.0208381291272899,0.3073424236162389,-2.0141320668137896,-68.9145206260767
activity_other_exhibition_expo,0.018201335237488698,0.018116343242734197,1.004691454208817,0.3150565555406683,1.836798911189752,62.8469793698211
mobility_remembering_or_concentrating,0.017019367200211185,0.017201537789236946,0.9894096335305704,0.32247370472164616,1.7165021773102973,58.730967373994126
decision_its_landscapes_and_scenery,-0.012891645390515717,0.013041546829884398,-0.9885058543036332,0.3229159002704206,-1.2808904068984939,-43.82629611055735
transport_yacht,0.04784066784606527,0.05090761213023719,0.9397547015891113,0.3473537738373751,4.900350202091408,167.66789558703198
decision_i_saw_a_show_or_segment_featuring_new_zealand_on_tv,-0.029537422820722664,0.031691105510389304,-0.9320414149338969,0.35132540728101047,-2.9105456651103756,-99.58575337549154
country_of_residence_india,0.040454221003445284,0.04406567906714072,0.9180437442438404,0.358606084660817,4.128363969122928,141.25400642279573
activity_hot_pools,-0.012154999530505682,0.013367519165408766,-0.9092935929322824,0.3632051879834004,-1.2081425921142697,-41.33719379941633
maori_exp_watch_a_live_maori_performance,-0.01843941685285926,0.020465087594881772,-0.9010182227351363,0.3675885486277827,-1.8270450944078975,-62.513247724875185
activity_a_place_that_is_significant_to_maori_such_as_a_landmark_remains_of_a_maori_pa_fortified_hill_etc,-0.01242906916538881,0.01444860951034426,-0.8602259723671271,0.38967391624478,-1.2352147304084848,-42.26348034418102
activity_other_live_performance,0.017717725256395575,0.02115017596968082,0.83771053639432,0.40220244516189974,1.787561525598913,61.162297972418145
decision_the_hobbit_and_lord_of_the_ring_movies,0.014817145951985907,0.017750752753267204,0.8347333861240709,0.40387695366375764,1.4927464052086226,51.075053431817565
activity_canyon_swing_canyoning,0.02845114967907732,0.03494990597815539,0.8140551135347842,0.4156222381140211,2.8859749477945673,98.74505418145287
arrival_year_2023,0.011409952756990797,0.014210085639429697,0.8029475012684526,0.4220138012836657,1.1475294547052872,39.26328545099783
activity_stargazing,0.019382177738359922,0.02483914823985833,0.7803076639825419,0.43521824432176837,1.9571231595083338,66.96393278573368
decision_i_read_about_new_zealand_in_online_articles_travel_forums_blogs_social_networking_sites_etc,-0.015989623868537268,0.020661030992131978,-0.7739025160277021,0.4389968035667233,-1.5862468457288115,-54.27421705318279
visit_purpose_for_some_special_event_or_occasion_non_sport_related,0.03182598508565312,0.04137577676732655,0.7691936580338795,0.44178665817123286,3.2337847491893834,110.64553783250369
travel_party_other_adult_family_relative,-0.013902358499531753,0.01822326461182559,-0.762890667268812,0.44553682755974855,-1.3806166992495927,-47.23848031854918
accomm_other_paid_camping_ground_holiday_park_where_you_can_stay_in_a_tent_cabin_caravan_or_campervan_motorhome,-0.016824710066893164,0.02253691802305099,-0.7465399683170821,0.45534931847914695,-1.6683965069181683,-57.085008169484766
other_countries_visited_after,0.016154797385470657,0.02168619535009707,0.7449346058481552,0.4563192551628923,1.6285991644880538,55.723322498047246
activity_farm_or_orchard,0.010155933788381236,0.013676296394106075,0.7425938642831716,0.45773557683964083,1.0207680313674805,34.92608092149378
arrival_location_christchurch_airport,-0.011145409238150465,0.015099610422041517,-0.7381256156040328,0.46044603590390343,-1.1083529270490278,-37.92284126279904
activity_a_film_location_tour_or_experience,-0.01006323445726134,0.013666776147235096,-0.7363283300207721,0.46153880379470325,-1.001276953536756,-34.259184094159714
itinerary_region_west_coast,-0.012772898810614188,0.017479626119701643,-0.7307306645545235,0.46495150628915805,-1.2691671542290894,-43.425179246771734
departure_location_wellington,0.015649636815032293,0.021863941008654426,0.715773830931838,0.4741386523098853,1.5772733683369733,53.967185104783425
accomm_farm_stay_or_home_stay,0.02126529109833816,0.030280555310566587,0.702275466226919,0.4825148612148241,2.149300869691362,73.53938778716824
decision_i_wanted_to_see_the_unique_indigenous_maori_culture,0.013666828361510648,0.019666541752574825,0.6949278898879785,0.487107873107147,1.37606463712463,47.082729271052976
activity_a_live_performance_of_dance,-0.01637774505031134,0.024223547841277376,-0.6761084362053422,0.49897894743751925,-1.6244358964367378,-55.58087423126196
travel_party_no_one_i_was_on_my_own,0.013162802890444913,0.019663361289246287,0.6694075695818869,0.5032425880273382,1.3249813931006216,45.33489091827385
transport_other_boat_or_ship,0.011739863089456968,0.01765243757408436,0.6650562020223385,0.5060215566404929,1.1809045748716107,40.40523162473527
activity_a_marine_park_or_marine_reserve,0.009615338430182637,0.01475354177199866,0.6517308574970097,0.514581658382526,0.9661714317518388,33.058031376819294
transport_bicycle,-0.015908727647587273,0.026951021510824666,-0.5902829190054135,0.5550070854283649,-1.5782852229808686,-54.00180620976272
travel_type_package,0.01788158330524565,0.03255720871602648,0.5492357610019355,0.582849271171465,1.8042416033728692,61.73301504839236
decision_i_read_about_new_zealand_in_a_newspaper_or_magazine,0.018546686778644086,0.034399318828997494,0.5391585476108277,0.5897829462070069,1.871974480258931,64.05052878949083
activity_mountain_climbing_rock_climbing_abseiling_caving,0.011626781411846192,0.022248836860219175,0.5225792918925496,0.6012723455756818,1.1694635153393973,40.013770138118765
activity_swimming_with_seals_or_dolphins,-0.015714001757866112,0.035565723401149954,-0.4418299490390241,0.6586166315085694,-1.5591181008961508,-53.34599368782647
country_of_residence_philippines,0.022382123882446796,0.05146917858677555,0.43486460240882185,0.6636649985097395,2.263448287700909,77.44499791196826
